enrollment_id,username,course_id
1,9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
159,FX39OUMp2fc5cOhN2hgQkfpLfm3Fwtwz,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
186,eakdJaYNzY2KmT602U8CscAjNHHpGkgl,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
245,zVX5LPwTGC1SEitxSfv31cubNXKJSEc2,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
432,sD3rDh1CtXsAdfDDyFRBf917K7ELQzHQ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
791,Wyji6pvgj7unEJ4mD7FWwu0Sma8fUdv4,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
953,8GKtgh5ojCBJDZIzab4pnG3eXm8mejoD,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
954,8GKtgh5ojCBJDZIzab4pnG3eXm8mejoD,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1075,90tR2Jy52lv1kJ6TwJ9Jqo5P6u0CqT0E,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1080,0CuRIhBavvQKL5rTT1QWf2kztAfRXZug,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1124,61ysO1Pg5Q6bsn73gkzoQt72GbhUHgNd,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1190,qY3mO9VSgbSXrTZIckLWUEq4U741QpCT,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1248,T6EWQ7jVP89JlHzj41KN1gEtGYevpSQM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1281,LKEJY5MvP0gj7M4NL5iRnXDBazXBKsOA,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1557,SIdEQEXoagJ5WwAcAkPtkVF6pipatiIa,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1585,k3YRNSEUtBfnCzCI2ffYAi1qqoCc9d8W,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1676,0XkWdOrszvLHfOAiz41vzdHNx25DrTO5,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1677,0XkWdOrszvLHfOAiz41vzdHNx25DrTO5,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1713,PrE64zhEuNh83grWL2cXaZZPY2nI1xUf,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1736,UaSh8dwx8gnofYbXlmpqj9uYDbpJ89pX,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1758,yZ9FndAKqVsKwZtO1B2JJJblefdbhZ02,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
1793,03OlEjthtH7bdIcwtrFwO8IymW2gZt4t,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila
1845,oaoj9be4jW2Hot8wYgYrzLRvB0RU4KYy,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1865,UA8vU3s92g3lXc62U363PEO0xor6Mpeg,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1888,lbgTV2YMskSv2TX4EXpaazpMVWfsftEV,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1891,s6iksgptFmyh2vfiarKdJkiKnp6RLi3f,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1951,dq3iqibSI5OSwCbWRZv7tfgbiuLwOgjh,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
1967,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
1980,viuKt4GgrX0rYL5EpHoxJbsiC9TblSuk,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2109,HAAyQYNYY3ULmqhNC56bxv5FSwyMVoqP,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2148,Hoitr98hXhrf7xDGgACEFamKhiarA3wg,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2153,3IgwuZBiVdgdYRQ9ySaEvpMizbjCJFS0,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2156,oNf6qoW6E6dhoPJKSUjvElFlUKN9drLY,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2162,niLMw8MCObO7SSR2V1jNg9WQt5oSjDFJ,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2255,eAArxLyCThtu9N3Mv8rQculKbGSa66j9,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2265,WdeZz7OyQpyfXtfu6OVEuvlOTlAEPRGd,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2304,dNx7yBBYuWpRM4BeMNLD1yOnUwcueGfB,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2327,ZFpXjzvya7Y5x9HmUsgToer6v1L16WM2,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2333,CE7hlTWnMpoldcHVRqlfbEgzp5iUVo4d,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2361,Yb5wcCC6cYP4AdxTKa3rsdFkhdyTQvW4,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2385,CE7hlTWnMpoldcHVRqlfbEgzp5iUVo4d,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2439,CUbueK74RGsaWBcRtztdoMN84Z7TxEjm,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2508,cxmD5n6LDACjvuY8YvfXaGJ22S8l6lkc,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2536,hsaEJHgxwdJ8kMXFbLBAZN911WXVYvlZ,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2549,HbDaABEakQmE8DQEoFoIphu2SH13rFRy,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2560,oJ9j9ejTgKixczg3tSE8Sg8DPI7YQpJq,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2577,IAvuP4GGmvnNj3Zisz3jDfo3mSmXiJSb,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2578,IAvuP4GGmvnNj3Zisz3jDfo3mSmXiJSb,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2579,FcPFK6OTsUF1j3uNGabdzGTvbY8kcO3D,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2606,hjUSUM6roI2mLGkMAqBjE0uxFRBSMYHJ,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2610,4cRZxyVNjv13lU3nu2aK2rwyndExVCGa,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
2694,LhMGo1H458StfoGsiIJMkiDJEIOqqbKe,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2764,uarVJhEs6XLW7Dw1D7iBgEK6zPe65WwX,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2820,knDHPR8YfOkLpXHV6I75VqEUj60nQPXN,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2876,nTeEg9IpivRmreYWiIjMvVlevTAaGMey,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2927,BCPOhUa2LrfH93ebCE15VbF0VEWEyi7T,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
2964,sT9hGAnww95aeGvqwQpJlS3ORhWDT49F,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2979,xdClWt95AonMUbXmVncDz7pyQAF4u9BG,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
2998,70BrIR23BcsI705EZj4LSyr7fHWI0Xjf,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3019,J8NkUmSvsrLHkKNXPhFg7o0pG3K7Aywh,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3042,XkKS323fFxBVezQ5JyIgzxHDxEKEwwEf,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
3081,B2ahwtOo16YsNrAQ9LRd2yjP18Ni9l2c,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3245,Hj4fYYa64lvHLVeQZBqs9EQ1OtgHTvl6,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3264,s6iksgptFmyh2vfiarKdJkiKnp6RLi3f,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
3284,CKlck1NtRiTrxKTlx9u8mNsXnR4Cg2LR,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3352,nlq4r6xc3rTUqTwcYhL6wudXdN6RIE52,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
3370,CfeENerIdAGepleePWSt0SV88ctt0Tmw,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3402,A5Ha5kMAE8LgDZc3iTs32MwLDsMXRqMa,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3468,zeUi2UnQZPPF6bRQXw2s8LZ41ZOdqRAa,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3469,zeUi2UnQZPPF6bRQXw2s8LZ41ZOdqRAa,5Gyp41oLVo7Gg7vF4vpmggWP5MU70QO6
3473,mSToVMacc08MhsUyEFn562K69bpANB3P,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3514,dQeQGMqD2AfjLt9WMqT1wjR4i8srmTVY,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3601,fGIeAB7IRJCHxzCo8u4GLaPKxQfHeCdi,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3741,Ecxkox9cBNw9DlXWEeDlSJP4O73ORQaY,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3783,SvayS3hRjiQUsZJZ3Z80XuRW7pnvNCGH,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3873,2gXHY5qLgY96Nt3kImmboPawcy43EQXt,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3906,futHw5ylJYoore6oNuefdx05Xc1Es6E8,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3935,htua1xywlnpsMMY7EJSOsurL86GI912X,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3946,b42x9fEviD2KrosQFgO4BDKrSzPFH9d9,Er0RFawC4sHagDmmQZcBGBrzamLQcblZ
3947,b42x9fEviD2KrosQFgO4BDKrSzPFH9d9,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
3950,1dxQmK9WwlHWuIG7ZTn4PsJ2vflQBDH3,81UZtt1JJwBFYMj5u38WNKCSVA4IJSDv
4024,UInMBEH8f1h2vxXVslRsWyLOTv8ggYq3,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
4044,dQeQGMqD2AfjLt9WMqT1wjR4i8srmTVY,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
4133,sT9hGAnww95aeGvqwQpJlS3ORhWDT49F,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
4134,bRG3KNKPz8MtEb5G1Duc4i5IiNMa8ZLU,fbPkOYLVPtPgIt0MxizjfFJov3JbHyAi
4220,EReWp6ilgaQY61GGX2jAkIc5IQisheJq,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
4317,nlq4r6xc3rTUqTwcYhL6wudXdN6RIE52,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
4395,C6xrhZPOmVH2gCVNP26gSSPka2CcwgB5,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
4437,nlq4r6xc3rTUqTwcYhL6wudXdN6RIE52,3cnZpv6ReApmCaZyaQwi2izDZxVRdC01
4439,BTSZE2PXdA7MkOyBKPCnqqHRa0lxJtHO,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
4495,G4MfAXnz0EbVaCbavnksnUIxHSPSMOp9,V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE
4511,C6xrhZPOmVH2gCVNP26gSSPka2CcwgB5,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
4655,DsHgWZRTJ1y1l15smwhB78ZQq3d8dyKP,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
4656,DsHgWZRTJ1y1l15smwhB78ZQq3d8dyKP,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
4711,3IgwuZBiVdgdYRQ9ySaEvpMizbjCJFS0,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
4737,sD3rDh1CtXsAdfDDyFRBf917K7ELQzHQ,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
4878,sriImyktZVkg4qB85Zfe9bMXHwVIUgVF,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
4890,sriImyktZVkg4qB85Zfe9bMXHwVIUgVF,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
4897,53qrF6M0dMx7kKnOiKvVv5yJevXuY3XD,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
4898,wDMKq3Xvq95ERd20zjEMEb0BtCbHx7BM,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
4900,wDMKq3Xvq95ERd20zjEMEb0BtCbHx7BM,V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE
4908,zgScsnx97lbYEQNQ5ihDmYHFxSK6ucUx,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
4914,zgScsnx97lbYEQNQ5ihDmYHFxSK6ucUx,V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE
4916,zgScsnx97lbYEQNQ5ihDmYHFxSK6ucUx,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
5008,tiAmX1K64h27ePNFGBqIfOBXXekJTi6c,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
5017,Edq6Echk8wEs8ShX5RBw5c8Yx8ANHVje,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
5063,M4qxCm572dyAklYyW6rlwVA2xGuuy2h9,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
5092,EiO5bky9R1Iqlpv4ItUpPBUgGb1eJItE,A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3
5177,USLTnsAwagwK2c83KXd1SNEeENnzkTTo,9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz
5262,VUYRWxIK25dyFla7xdkPw6qN6gZPPejU,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
5268,K0OSl2yDmHYQ9TtZdxy9shErNwx3ga0n,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
5271,K0OSl2yDmHYQ9TtZdxy9shErNwx3ga0n,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
5314,SFbTZDEo0JTOG7VHfxeJz2kz3qSzlHq4,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
5357,SFbTZDEo0JTOG7VHfxeJz2kz3qSzlHq4,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
5375,Ecxkox9cBNw9DlXWEeDlSJP4O73ORQaY,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
5382,Ecxkox9cBNw9DlXWEeDlSJP4O73ORQaY,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
5500,F2owRK2SDPW5FCDK4TxmBVHsTtJ44Nxq,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
5525,YAsCREgt5tIqJEvOtaek3jtgsLn87nEr,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
5595,SFbTZDEo0JTOG7VHfxeJz2kz3qSzlHq4,AXUJZGmZ0xaYSWazu8RQ1G5c76ECT1Kd
5604,k2w7Fl2HRg9SZoDIHFnK8RXCKuBBE2y7,NmbZ3BmS8V4pMg6oxXHWpqqMZCE1jvYt
5606,Ecxkox9cBNw9DlXWEeDlSJP4O73ORQaY,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
5625,rsMqzQV4BJo2NdhTX79HDXS5zRZgLPX5,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
5664,GMzSpgZQ6jzVsfHn8W8i83JsYNxnP00b,shM3Yy9vxHn2aqjSYfQXOcwGo0hWh3MI
5671,HbDaABEakQmE8DQEoFoIphu2SH13rFRy,A3fsA9Zfv1X2fVEQhTw51lKENdNrEqT3
5678,HbDaABEakQmE8DQEoFoIphu2SH13rFRy,V4tXq15GxHo2gaMpaJLZ3IGEkP949IbE
5691,7qDBI7pI0SQ1bfBBjf175GzJeqNA6CgO,9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz
5724,9b2fchNyVZPjqpmxjleqzL9edi9EOH23,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
5727,tzyyAYK7Q2hNPhv988H6lH5D7hdM24rK,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
5803,sD3rDh1CtXsAdfDDyFRBf917K7ELQzHQ,SpATywNh6bZuzm8s1ceuBUnMUAeoAHHw
5855,M4qxCm572dyAklYyW6rlwVA2xGuuy2h9,H2lDW05SyKnwntZ6Fora76aPAEswcMa5
5888,syrttArug8Mpzs9L0IHsvBtATawYF9J2,a2E7NQC7nZB7WHEhKGhKnKvUWtsLAQzh
5932,EReWp6ilgaQY61GGX2jAkIc5IQisheJq,ykoe1cCWK134BJmfbNoPEenJOIWdtQOZ
5933,EReWp6ilgaQY61GGX2jAkIc5IQisheJq,9Bd26pfDLvkPINwLnpaGcf0LrLUvY1Mz
